MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseAge,RemodelAge,TotalArea,TotalBathrooms,BedroomBathroomRatio,OverallFinishQuality,TotalOutdoorArea,LotSizePerRoom,GarageQuality,GarageToLotRatio,ExteriorQuality,BasementQuality
45,4,51.0,6120,1,2,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,3,0.0,3,3,0,3.0,3.0,3,5,0,5,0,832,832,1,5,1,0,854,0,0,854,0,0,1,0,2,1,3,5,6,0,0.0,5,1991.0,2,2,576,3.0,3.0,2,48,112,0,0,0,0,0.0,0,4,0,7,2007,8,4,132000,78,6,2262,1,2.0,15,160,3060.0,6.0,0.09411764705882353,6,6.0
20,3,0.0,11241,1,2,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,1,180.0,3,3,1,3.0,3.0,3,0,578,5,0,426,1004,1,5,1,4,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,3.0,1,1970.0,0,2,480,3.0,3.0,2,0,0,0,0,0,0,0.0,4,2,700,3,2010,8,4,149000,40,40,2488,2,1.0,13,0,5620.5,6.0,0.04270082732852949,6,6.0
90,3,72.0,10791,1,2,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,3,0.0,3,3,3,0.0,0.0,4,6,0,6,0,0,0,1,3,1,4,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,0.0,4,1967.0,2,2,516,3.0,3.0,2,0,0,0,0,0,0,0.0,4,2,500,10,2006,8,4,90000,39,39,1812,2,1.0,9,0,5395.5,6.0,0.047817625799277175,6,0.0
20,3,66.0,13695,1,2,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,3,0.0,3,3,2,3.0,3.0,3,2,646,5,0,468,1114,1,5,1,4,1114,0,0,1114,1,0,1,1,3,1,4,6,6,0,0.0,5,2004.0,2,2,576,3.0,3.0,2,0,102,0,0,0,0,0.0,4,4,0,6,2008,8,4,159000,4,4,2804,3,1.0,10,102,4565.0,6.0,0.042059145673603505,6,6.0
20,3,70.0,7560,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,3,0.0,3,3,1,3.0,3.0,3,3,504,5,0,525,1029,1,3,1,4,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,0.0,1,1958.0,2,1,294,3.0,3.0,2,0,0,0,0,0,0,0.0,2,4,0,5,2009,0,0,139000,51,44,2662,1,3.0,11,0,2520.0,6.0,0.03888888888888889,6,6.0
60,3,101.0,14215,1,2,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380.0,4,3,2,5.0,3.0,0,5,0,5,0,1158,1158,1,5,1,4,1158,1218,0,2376,0,0,3,1,4,1,4,9,6,1,4.0,3,2005.0,1,3,853,3.0,3.0,2,240,154,0,0,0,0,0.0,4,4,0,11,2006,6,5,325300,1,0,4387,4,1.0,13,394,3553.75,6.0,0.060007034822370735,7,8.0
45,4,57.0,7449,1,0,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,3,0.0,3,3,2,3.0,3.0,3,5,0,5,0,637,637,1,5,1,1,1108,0,0,1108,0,0,1,0,3,1,4,6,6,1,4.0,1,1930.0,2,1,280,3.0,3.0,0,0,0,205,0,0,0,0.0,0,4,0,6,2007,8,4,139400,77,57,2025,1,3.0,14,205,2483.0,6.0,0.03758893811249832,6,6.0
20,3,75.0,9742,1,2,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,281.0,4,3,2,4.0,3.0,3,5,0,5,0,1777,1777,1,5,1,4,1795,0,0,1795,0,0,2,0,3,1,4,7,6,1,4.0,1,2002.0,1,2,534,3.0,3.0,2,171,159,0,0,0,0,0.0,4,4,0,9,2008,8,4,230000,6,6,4106,2,1.5,13,330,3247.3333333333335,6.0,0.054814206528433586,7,7.0
120,4,44.0,4224,1,2,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,3,0.0,3,3,2,4.0,3.0,3,2,840,5,0,200,1040,1,3,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,3.0,1,1976.0,2,2,572,3.0,3.0,2,100,110,0,0,0,0,0.0,4,4,0,6,2007,8,4,129900,31,31,2672,2,1.5,12,210,1408.0,6.0,0.13541666666666666,6,7.0
20,3,0.0,8246,1,2,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,3,0.0,3,4,1,3.0,3.0,2,4,188,0,668,204,1060,1,5,1,4,1060,0,0,1060,1,0,1,0,3,1,4,6,6,1,3.0,1,1968.0,2,1,270,3.0,3.0,2,406,90,0,0,0,0,0.0,2,4,0,5,2010,8,4,154000,42,9,2390,2,1.5,13,496,2748.6666666666665,6.0,0.0327431481930633,7,6.0
20,3,110.0,14230,1,2,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,2,640.0,4,3,2,4.0,3.0,3,5,0,5,0,1566,1566,1,5,1,4,1600,0,0,1600,0,0,2,0,3,1,4,7,6,1,4.0,1,2007.0,1,3,890,3.0,3.0,2,0,56,0,0,0,0,0.0,4,4,0,7,2009,8,4,256300,2,2,4056,2,1.5,13,56,4743.333333333333,6.0,0.06254392129304287,7,7.0
20,3,60.0,7200,1,2,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,3,0.0,3,3,1,3.0,3.0,2,1,234,4,486,180,900,1,3,1,4,900,0,0,900,0,1,1,0,3,1,4,5,6,0,0.0,5,2005.0,2,2,576,3.0,3.0,2,222,32,0,0,0,0,0.0,4,4,0,5,2010,8,4,134800,59,10,2376,2,1.5,12,254,2400.0,6.0,0.08,6,6.0
20,3,98.0,11478,1,2,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,2,200.0,4,3,2,5.0,3.0,3,2,1218,5,0,486,1704,1,5,1,4,1704,0,0,1704,1,0,2,0,3,1,4,7,6,1,4.0,1,2008.0,1,3,772,3.0,3.0,2,0,50,0,0,0,0,0.0,4,4,0,5,2010,8,4,306000,3,2,4180,3,1.0,13,50,3826.0,6.0,0.06725910437358425,7,8.0
20,3,47.0,16321,1,2,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,3,0.0,3,3,1,3.0,3.0,1,1,1277,5,0,207,1484,1,3,1,4,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,4.0,1,1957.0,1,1,319,3.0,3.0,2,288,258,0,0,0,0,0.0,4,4,0,12,2006,8,4,207500,49,9,3403,2,1.0,11,546,8160.5,6.0,0.01954537099442436,6,6.0
30,4,60.0,6324,1,2,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,3,0.0,3,3,0,3.0,3.0,3,5,0,5,0,520,520,1,2,0,4,520,0,0,520,0,0,1,0,1,1,2,4,6,0,0.0,5,1920.0,2,1,240,2.0,3.0,2,49,0,87,0,0,0,0.0,4,4,0,5,2008,8,4,68500,81,58,1280,1,1.0,10,136,6324.0,5.0,0.03795066413662239,6,6.0
70,0,50.0,8500,1,1,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,3,0.0,3,2,0,3.0,3.0,3,5,0,5,0,649,649,1,3,0,4,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,0.0,5,1920.0,2,1,250,3.0,2.0,0,0,54,172,0,0,0,0.0,2,4,0,7,2008,8,4,40000,88,58,2216,1,3.0,8,226,2833.3333333333335,5.0,0.029411764705882353,5,6.0
20,3,0.0,8544,1,2,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,3,0.0,3,3,1,3.0,3.0,3,5,0,5,0,1228,1228,1,4,1,4,1228,0,0,1228,0,0,1,1,3,1,4,6,6,0,0.0,1,1966.0,2,1,271,3.0,3.0,2,0,65,0,0,0,0,0.0,2,4,0,6,2008,8,4,149350,42,2,2727,2,1.5,11,65,2848.0,6.0,0.03171816479400749,6,6.0
20,3,85.0,11049,1,2,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,3,0.0,4,3,2,5.0,3.0,0,5,0,5,0,1234,1234,1,5,1,4,1234,0,0,1234,0,0,2,0,3,1,4,7,6,0,0.0,1,2007.0,1,2,484,3.0,3.0,2,0,30,0,0,0,0,0.0,4,4,0,1,2008,8,4,179900,1,1,2952,2,1.5,13,30,3683.0,6.0,0.04380486921893384,7,8.0
20,3,70.0,10552,1,2,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,3,0.0,3,3,1,3.0,3.0,3,4,1018,5,0,380,1398,1,4,1,4,1700,0,0,1700,0,1,1,1,4,1,4,6,6,1,4.0,1,1959.0,1,2,447,3.0,3.0,2,0,38,0,0,0,0,0.0,4,4,0,4,2010,8,4,165500,51,51,3545,3,1.3333333333333333,10,38,2638.0,6.0,0.04236163760424564,6,6.0
120,3,60.0,7313,1,2,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,246.0,5,3,2,5.0,3.0,3,2,1153,5,0,408,1561,1,5,1,4,1561,0,0,1561,1,0,2,0,2,1,5,6,6,1,4.0,1,2005.0,0,2,556,3.0,3.0,2,203,47,0,0,0,0,0.0,4,4,0,8,2007,8,4,277500,2,2,3678,3,0.6666666666666666,14,250,3656.5,6.0,0.07602898947080541,8,8.0
60,3,108.0,13418,1,2,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,2,132.0,4,3,2,5.0,3.0,0,5,0,5,0,1117,1117,1,5,1,4,1132,1320,0,2452,0,0,3,1,4,1,4,9,6,1,4.0,3,2004.0,0,3,691,3.0,3.0,2,113,32,0,0,0,0,0.0,4,4,0,9,2006,8,4,309000,2,1,4260,4,1.0,13,145,3354.5,6.0,0.051497987777612164,7,8.0
20,3,112.0,10859,1,2,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,3,0.0,3,3,2,4.0,3.0,3,5,0,5,0,1097,1097,1,5,1,4,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,0.0,1,1995.0,2,2,672,3.0,3.0,2,392,64,0,0,0,0,0.0,4,4,0,6,2009,8,4,145000,15,14,2866,2,1.5,10,456,3619.6666666666665,6.0,0.061884151395156094,6,7.0
20,3,74.0,8532,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,650.0,3,3,1,3.0,3.0,3,4,1213,5,0,84,1297,1,4,1,4,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,3.0,1,1954.0,0,2,498,3.0,3.0,2,0,0,0,0,0,0,0.0,4,4,0,10,2009,8,4,153000,55,19,3092,2,1.5,11,0,2844.0,6.0,0.058368495077355836,6,6.0
20,3,68.0,7922,1,2,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,3,0.0,3,4,1,3.0,3.0,3,2,731,5,0,326,1057,1,3,1,4,1057,0,0,1057,1,0,1,0,3,1,4,5,6,0,0.0,5,1953.0,2,1,246,3.0,3.0,2,0,52,0,0,0,0,0.0,4,4,0,1,2010,8,0,109000,57,3,2360,2,1.5,12,52,2640.6666666666665,6.0,0.031052764453420853,7,6.0
90,3,65.0,6040,1,2,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,3,0.0,3,3,2,0.0,0.0,4,6,0,6,0,0,0,1,3,0,2,1152,0,0,1152,0,0,2,0,2,2,2,6,6,0,0.0,6,0.0,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,4,4,0,6,2008,8,1,82000,53,53,1152,2,1.0,9,0,3020.0,0.0,0.0,6,0.0
20,3,84.0,8658,1,2,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,101.0,3,3,1,3.0,3.0,3,4,643,5,0,445,1088,1,5,1,4,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,3.0,1,1965.0,1,2,440,3.0,3.0,2,0,138,0,0,0,0,0.0,1,4,0,12,2006,8,0,160000,41,41,2852,2,1.5,11,138,2886.0,6.0,0.05082005082005082,6,6.0
20,3,115.0,16905,1,2,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,3,0.0,3,4,1,3.0,3.0,1,1,967,5,0,383,1350,1,4,1,4,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,4.0,1,1959.0,1,1,308,3.0,3.0,1,0,104,0,0,0,0,0.0,4,4,0,7,2007,8,4,170000,48,48,2986,3,0.6666666666666666,11,104,8452.5,6.0,0.018219461697722567,7,6.0
85,3,0.0,9180,1,2,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,3,0.0,3,3,1,4.0,3.0,0,0,747,3,93,0,840,1,4,1,4,884,0,0,884,1,0,1,0,2,1,4,5,6,0,0.0,1,1983.0,1,2,504,3.0,4.0,2,240,0,0,0,0,0,0.0,2,4,0,12,2007,8,4,144000,24,24,2228,2,1.0,12,240,4590.0,7.0,0.054901960784313725,6,7.0
20,3,0.0,9200,1,2,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,3,0.0,3,3,1,4.0,3.0,0,3,280,1,491,167,938,1,3,1,4,938,0,0,938,1,0,1,0,3,1,3,5,6,0,0.0,5,1977.0,2,1,308,3.0,3.0,2,145,0,0,0,0,0,0.0,2,4,0,7,2008,8,4,130250,33,28,2184,2,1.5,11,145,3066.6666666666665,6.0,0.033478260869565214,6,7.0
20,3,70.0,7945,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,3,0.0,3,3,1,3.0,3.0,3,0,179,1,506,465,1150,1,5,1,0,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,0.0,1,1959.0,1,1,300,3.0,3.0,2,0,0,0,0,0,0,0.0,4,4,0,5,2006,8,4,141000,47,47,2600,2,1.5,11,0,2648.3333333333335,6.0,0.03775959723096287,6,6.0
120,3,61.0,7658,1,2,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,412.0,5,3,2,5.0,3.0,3,2,456,5,0,1296,1752,1,5,1,4,1752,0,0,1752,1,0,2,0,2,1,5,6,6,1,4.0,1,2005.0,1,2,576,3.0,3.0,2,196,82,0,0,0,0,0.0,4,4,0,2,2010,8,4,319900,5,5,4080,3,0.6666666666666666,14,278,3829.0,6.0,0.07521546095586315,8,8.0
50,3,48.0,12822,1,2,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,3,0.0,4,3,2,5.0,3.0,3,2,1351,5,0,83,1434,1,5,1,4,1518,631,0,2149,1,0,1,1,1,1,4,6,6,1,5.0,1,2003.0,1,2,670,3.0,3.0,2,168,43,0,0,198,0,0.0,4,4,0,8,2009,8,0,239686,6,6,4253,3,0.3333333333333333,12,409,12822.0,6.0,0.052253938543129,7,8.0
20,1,84.0,11096,1,2,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,3,0.0,4,3,2,4.0,3.0,0,2,24,5,0,1632,1656,1,5,1,4,1656,0,0,1656,0,0,2,0,3,1,4,7,6,0,0.0,1,2006.0,1,3,826,3.0,3.0,2,0,146,0,0,0,0,0.0,4,4,0,7,2007,8,4,249700,1,1,4138,2,1.5,13,146,3698.6666666666665,6.0,0.07444124008651766,7,7.0
190,4,33.0,4456,1,2,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,3,0.0,3,3,0,3.0,3.0,3,5,0,5,0,736,736,1,4,1,4,736,716,0,1452,0,0,2,0,2,3,3,8,6,0,0.0,6,0.0,3,0,0,0.0,0.0,0,0,0,102,0,0,0,0.0,4,4,0,6,2009,6,5,113000,89,1,2188,2,1.0,9,102,2228.0,0.0,0.0,6,6.0
20,3,66.0,7742,1,2,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,3,0.0,3,3,1,3.0,3.0,3,1,763,5,0,192,955,1,5,1,4,955,0,0,955,1,0,1,0,3,1,3,6,6,0,0.0,1,1966.0,2,1,386,3.0,3.0,2,0,0,0,0,0,0,0.0,2,4,0,1,2007,8,4,127000,41,41,2296,2,1.5,12,0,2580.6666666666665,6.0,0.04985791785068458,6,6.0
60,3,0.0,13869,1,2,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,3,0.0,3,3,2,4.0,3.0,0,2,182,5,0,612,794,1,4,1,4,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,0.0,1,1997.0,0,2,388,3.0,3.0,2,0,75,0,0,0,0,0.0,4,4,0,7,2007,8,4,177000,10,10,2652,3,1.0,12,75,4623.0,6.0,0.02797606172038359,6,7.0
50,4,52.0,6240,1,2,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,3,0.0,3,3,2,3.0,3.0,3,5,0,5,0,816,816,1,3,1,4,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,4.0,5,1985.0,2,2,528,3.0,3.0,2,112,0,0,0,0,0,0.0,2,2,400,9,2006,8,4,114500,72,56,2520,1,3.0,12,112,2080.0,6.0,0.08461538461538462,6,6.0
90,4,110.0,8472,0,2,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,3,0.0,2,3,1,4.0,3.0,1,3,104,2,712,0,816,1,3,0,4,816,0,0,816,1,0,1,0,2,1,3,5,6,0,0.0,4,1963.0,2,2,516,3.0,3.0,2,106,0,0,0,0,0,0.0,4,4,0,5,2010,8,4,110000,47,47,2148,2,1.0,10,106,4236.0,6.0,0.060906515580736544,5,7.0
20,3,68.0,50271,1,2,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,3,0.0,4,3,1,5.0,3.0,1,2,1810,5,0,32,1842,1,4,1,4,1842,0,0,1842,2,0,0,1,0,1,4,5,6,1,4.0,1,1981.0,0,3,894,3.0,3.0,2,857,72,0,0,0,0,0.0,4,4,0,11,2006,8,4,385000,25,19,4578,3,0.0,14,929,,6.0,0.017783612818523604,7,8.0
80,3,60.0,7134,1,2,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,3,0.0,3,3,1,3.0,3.0,3,0,384,5,0,0,384,1,3,1,4,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,3.0,5,1962.0,2,2,572,3.0,3.0,2,0,50,0,0,0,0,0.0,2,4,0,2,2007,8,4,130000,52,52,2316,1,3.0,10,50,2378.0,6.0,0.08017942248388,6,6.0
